X	Y	Z
-1392	1224	9796
1804	2008	13512
540	1812	13032
2100	4272	18300
-1632	5124	16388
1860	1220	11112
4612	68	10444
4340	2020	13660
4864	3972	17264
4804	3304	14276
8796	1204	10476
10156	-1936	2364
12320	-1568	4708
12412	1960	11788
13308	776	8836
14976	-400	6972
13500	-516	5084
15292	560	8968
14572	2500	13128
10448	1896	11496
7772	2528	13632
4964	2716	13224
3580	2976	13304
648	2972	12392
-560	2924	13000
-2368	2620	11176
-2684	1072	9680
-6416	1904	9704
-10444	2456	9012
-12704	540	3880
-17280	564	6064
-18804	652	5568
-17264	648	4916
-16044	-1264	3268
-13960	504	6736
-15812	680	7672
-15184	2028	10116
-12124	3568	12808
-11048	5136	13912
-9944	3564	11484
-4976	2060	10516
-376	-252	9164
3948	3396	14992
-124	4860	16388
3284	1476	10208
6088	608	10568
5792	2200	13640
6448	2852	14564
6664	2520	13120
9692	660	9984
9616	-12	7944
9528	1572	9404
8600	2964	11752
8644	3348	14100
5984	2476	12968
1460	1908	9984
-1932	1484	9040
-6276	1060	8216
-9768	2172	8168
-14672	916	5664
-19568	1596	6400
-19964	2396	7340
-16848	1360	4832
-14328	128	3572
-16096	976	6656
-17800	1700	8372
-15400	1808	7244
-13308	3024	10232
-10568	3380	11024
-7504	2048	9520
-5140	2136	10408
-4392	3796	13464
-920	3448	13240
772	3840	14280
4684	1468	9384
8988	708	9316
7580	1256	9856
5264	2832	12976
2160	2684	11904
-20	1444	8912
-3872	2100	9124
-9176	1248	7952
-13456	-340	4644
-19332	-1324	3100
-26016	-752	5504
-22916	92	4984
-19404	852	5028
-15720	1556	7164
-15384	2044	9736
-12696	2696	10660
-7880	2732	11284
-7976	2516	9664
-5080	1372	6832
804	1492	9320
2756	2020	12032
2116	4192	15540
4496	2140	11164
10888	-364	6248
12484	400	8448
11840	1592	9828
8064	3016	12440
3612	4028	15072
1492	1548	11272
-3436	1028	9544
-9248	1144	9512
-14528	312	7116
-19068	24	7676
-21936	-624	6048
-22496	-236	4708
-18284	2204	9760
-14800	2816	10732
-11728	3500	11496
-7748	3908	11936
-4948	3580	11284
-1272	2872	10060
3492	2268	10152
5220	2180	9268
9056	936	4884
10648	1260	6668
9988	3396	10844
3152	4292	12556
-916	3440	10900
-5112	1640	9356
-9348	1400	9472
-13440	620	8304
-20096	620	8664
-23236	864	10424
-22688	1504	8656
-15724	1096	7124
-14020	2996	12888
-11932	4972	14764
-3180	3196	9100
-1200	3668	8436
3396	3656	9028
4472	2660	6864
12260	984	5064
11172	2948	9860
7236	4164	12040
84	3792	11060
-3264	2192	8628
-8728	1696	8472
-13160	1796	11796
-22576	2324	16036
-25124	3004	12544
-14648	1656	6604
-8664	2408	6560
-1272	5352	15352
1408	4076	11976
4852	2532	8812
7968	2176	7760
6380	3416	9424
5872	4544	13476
2688	3512	12660
-2520	1416	8680
-7236	988	8220
-11236	1016	9604
-16788	836	9548
